Kỳ thi,Ngày,Loại kỳ thi,Link Google Drive
Free Contest 1,03/12/2015,Free Contest,https://drive.google.com/drive/folders/1x8jtxHKEKvDcLeb7KhXrp9WR6ajBHvjy?usp=sharing
Free Contest 2,10/12/2015,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8RTNqRU11cjlSWGc?usp=sharing
Free Contest 3,17/12/2015,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8NmRweGoyRENvUU0?usp=sharing
Free Contest 4,24/12/2015,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8ZDNTVGVYNzZPQWM?usp=sharing
Free Contest 5,31/12/2015,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8ODNvb3NHOWtLRm8?usp=sharing
Free Contest 6,10/01/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8ZXBobm9YbHRNWjg?usp=sharing
Free Contest 7,17/01/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8ZzNLZUZ2YmNKTlU?usp=sharing
Free Contest 9,28/01/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8UFp1NVhYUDRoV00?usp=sharing
Free Contest 10,14/02/2016,Free Contest,https://drive.google.com/drive/folders/0BxX5fIYiDE8AU0ZyRFZfRURhd00?usp=sharing
Testing Round 2,16/02/2016,Testing Round,https://drive.google.com/drive/folders/0B97Iu255Omo8SndqRTlKRmlmZnc?usp=sharing
Free Contest 11,21/02/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8ak5sajBndjgyWmM?usp=sharing
Free Contest 12,08/03/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8MGFiQU12aE9jZUk?usp=sharing
Free Contest 13,21/04/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8V3ZvZkxhNjdjd2M?usp=sharing
Free Contest 14,02/05/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8OUpvNVhXaHlWVzg?usp=sharing
Free Contest 15,13/05/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8UHRNQlVtMmFyUzQ?usp=sharing
Free Contest 16,24/05/2016,Free Contest,https://drive.google.com/drive/folders/0B0-SzYMftei7V2ZMeFI4UFNYTnM?usp=sharing
Free Contest 17,05/06/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8RmIwRi1jNnMxbDA?usp=sharing
Free Contest 18,17/06/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8RGJiTloxc0VQTlE?usp=sharing
Free Contest 19,24/06/2016,Free Contest,https://drive.google.com/drive/folders/0B7mhD_lBKmu_aWVjaW50YlBFZVE?usp=sharing
Free Contest 20,04/07/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8LTFtT0NwaUJRR2c?usp=sharing
Free Contest 21,16/07/2016,Free Contest,https://drive.google.com/drive/folders/0B3RRBQShMtXMLURXZDJaT1JrQTQ?usp=sharing
Free Contest 22,31/07/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8YzJLV09ZM0tERUE?usp=sharing
Free Contest 23,04/09/2016,Free Contest,https://drive.google.com/drive/folders/0B7mhD_lBKmu_bzhoRnFlRmRETlE?usp=sharing
Free Contest 24,10/09/2016,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfZF9aUXNjRE1RbkE?usp=sharing
Free Contest 25,18/09/2016,Free Contest,https://drive.google.com/drive/folders/0B9EgWRdnBaMsWFdDUUtlQVhNNWs?usp=sharing
Free Contest 26,24/09/2016,Free Contest,https://drive.google.com/drive/folders/0B9EgWRdnBaMsdnNJUF9SbDVYMWM?usp=sharing
Free Contest 27,09/10/2016,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfM0t4bHA3bE5VcGs?usp=sharing
Free Contest 28,20/10/2016,Free Contest,https://drive.google.com/drive/folders/0B9EgWRdnBaMsaktCaFpxQkd5VkU?usp=sharing
Free Contest 29,30/10/2016,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfdHd1bGtod05Fakk?usp=sharing
Free Contest 30,13/11/2016,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfM19qMHIyTGplNVk?usp=sharing
Free Contest 31,21/11/2016,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfNFlBYWVRWVcwcTg?usp=sharing
Free Contest 32,30/11/2016,Free Contest,https://drive.google.com/drive/folders/0B97Iu255Omo8aEh0SVk3eG9UWVk?usp=sharing
Free Contest 33,14/12/2016,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfUkJCX0gwTWgxSmc?usp=sharing
Free Contest 34,24/12/2016,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfNGwyMXV0WmtGYms?usp=sharing
Free Contest 35,12/01/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfanhGR1dKcGYyWVE?usp=sharing
Free Contest 36,16/01/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfX0U3dER0NEk2ZXc?usp=sharing
Free Contest 37,24/01/2017,Free Contest,https://drive.google.com/drive/folders/0B0-SzYMftei7QnVfWnRPMGs0SUE?usp=sharing
Free Contest 38,07/02/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfWExMX3RmdV9xdms?usp=sharing
Free Contest 39,14/02/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfeEd1aFlWMXljLWM?usp=sharing
Free Contest 40,23/02/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfdGNzSEh6VmU3LTg?usp=sharing
Free Contest 41,27/02/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfZXFNbER0Ml9xajg?usp=sharing
Free Contest 42,08/03/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfbFlKMlhfMDB4TFk?usp=sharing
Free Contest 43,14/03/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfbUwyMF9vMFgwNkU?usp=sharing
Free Contest 44,20/03/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfVlJTdkVnVm9PSG8?usp=sharing
Free Contest 45,26/03/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfSUxITE15U1hoQzA?usp=sharing
Free Contest 46,12/04/2017,Free Contest,https://drive.google.com/drive/folders/0B3RRBQShMtXMSUpoYno1SHBjMUE?usp=sharing
Free Contest 47,22/04/2017,Free Contest,https://drive.google.com/drive/folders/0B3RRBQShMtXMdFhLdGYzZkFyanc?usp=sharing
Free Contest 48,30/04/2017,Free Contest,https://drive.google.com/drive/folders/0B3RRBQShMtXMcGZUOWYwQ2pROEk?usp=sharing
Free Contest 49,19/05/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfaF80aWhOZjJPTFU?usp=sharing
Free Contest 50,28/05/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfVWRQV3g1VURycms?usp=sharing
Free Contest 51,06/06/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfb0hNYVpLaGlHTU0?usp=sharing
Free Contest 52,18/06/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfX1ZPOWdZUkVwZ2s?usp=sharing
Free Contest 53,30/06/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfSXZsVnBlSkl0Nm8?usp=sharing
Free Contest 54,08/07/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfSFNSUUVITjhRMDg?usp=sharing
Free Contest 55,22/07/2017,Free Contest,https://drive.google.com/drive/folders/0B3RRBQShMtXMUVFQRS1kdkVva1k?usp=sharing
Free Contest 56,27/07/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfRU9DU0taNGhzbHc?usp=sharing
Free Contest 57,09/08/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfUV9wQ1U0Sm9keW8?usp=sharing
Free Contest 58,15/08/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfSDhieHhPTkFVb0U?usp=sharing
Free Contest 59,21/08/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfaXBrYkQ2enMxM0U?usp=sharing
Free Contest 60,27/08/2017,Free Contest,https://drive.google.com/drive/folders/0B3RRBQShMtXMWlJ1TkJvZVp3cnM?usp=sharing
Free Contest 61,09/09/2017,Free Contest,https://drive.google.com/drive/folders/0B3FR-sWbqZL9elRXYlczME5UamM?usp=sharing
Free Contest 62,30/09/2017,Free Contest,https://drive.google.com/drive/folders/0B3RRBQShMtXMT1FuUzRLNWwzUHM?usp=sharing
Testing Round 2.1,11/10/2017,Testing Round,https://drive.google.com/drive/folders/0B9itZn-5hxz4dnRMTkZYSndOd0U?usp=sharing
Free Contest 63,14/10/2017,Free Contest,https://drive.google.com/drive/folders/0B_oG07xH6MEfeWVlaGw0MmQ2T1U?usp=sharing
Free Contest 64,20/10/2017,Free Contest,https://drive.google.com/drive/folders/0B9itZn-5hxz4LXZLUWFyVnlLVUE?usp=sharing
Free Contest 65,28/10/2017,Free Contest,https://drive.google.com/drive/folders/0BxYVt9RXR5XgSHpEaUdSdzFIbGM?usp=sharing
