Kỳ thi,Ngày,Loại tư liệu kỳ thi,Tên file (đích),Link Google Drive
Free Contest 1,03/12/2015,Lời giải (thư mục),Lời giải,https://drive.google.com/drive/folders/1jg7mtIirp7ZL0tFiyl-iddRT3_9UluhT?usp=sharing
Free Contest 1,03/12/2015,Đề bài (thư mục),Đề bài,https://drive.google.com/drive/folders/1hZigcQujgMNhNVtzC2egCXt7WhKjgICI?usp=sharing
Free Contest 1,03/12/2015,Đề bài,ASCII.pdf,https://drive.google.com/file/d/1jc3vQcj5tCO3tw0pFqu7d82q7ww2PHx2/view?usp=sharing
Free Contest 1,03/12/2015,Đề bài,KDIGIT.pdf,https://drive.google.com/file/d/1kPQNe4kZ7_I4DEjWCgwAfNJqLoMyHzmh/view?usp=sharing
Free Contest 1,03/12/2015,Đề bài,KEYBOARD.pdf,https://drive.google.com/file/d/1tHdavcOnQLDyitgIUr6ny7vByZFUbCAt/view?usp=sharing
Free Contest 1,03/12/2015,Đề bài,KID.pdf,https://drive.google.com/file/d/1dEIvx65ov6oOaIO3_gHCsYw9s3XQAPMf/view?usp=sharing
Free Contest 1,03/12/2015,Đề bài,KINGDOMDEFENSE.pdf,https://drive.google.com/file/d/1dkUAAYZYKKZQbcOqiyh9dWTpdAuwQlyS/view?usp=sharing
Free Contest 1,03/12/2015,Đề bài,KNIGHT.pdf,https://drive.google.com/file/d/1r1DGMjHZBYAITDwfueI1gOJr4B1TZcaC/view?usp=sharing
Free Contest 1,03/12/2015,Đề bài,KSTEPS.pdf,https://drive.google.com/file/d/1nl-zP8dCpFSGw7Uj9YnBb4cqpkfyFpqf/view?usp=sharing
Free Contest 1,03/12/2015,Đề bài,KWADRAT.pdf,https://drive.google.com/file/d/1tCHVKsIHrtjAFnLFwaqV7PPrKHO8wCdl/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test (thư mục),Bộ test,https://drive.google.com/drive/folders/1BXb71nu39DspzXLgXTROVnnULjOS6sX-?usp=sharing
Free Contest 1,03/12/2015,Bộ test,ASCII.zip,https://drive.google.com/file/d/1xaVpZtQk6cZk3QJwjdRKGuy-zHObVYB5/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test,KDIGIT.zip,https://drive.google.com/file/d/1r5wGDjVeNXJ5jdX8E6B1mw5ePHNJMUIN/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test,KEYBOARD.zip,https://drive.google.com/file/d/1_Jmpo9GI-hwYxie4xy1YAihKxqMZncMe/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test,KID.zip,https://drive.google.com/file/d/1m2CoHSL8fzOIByLv4g-XO-vyc2CU4Mrp/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test,KINGDOMDEFENSE.zip,https://drive.google.com/file/d/1lgy1N6VIAwAYor2avQiy9yZ_3Zb5iUYO/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test,KNIGHT.zip,https://drive.google.com/file/d/1sb9SrmgtSDWQkiYl5ueUI7mdLUsTiz1u/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test,KSTEPS.zip,https://drive.google.com/file/d/1NJo5bnyXUBsLTPQgd_npL_BhlIKrli_X/view?usp=sharing
Free Contest 1,03/12/2015,Bộ test,KWADRAT.zip,https://drive.google.com/file/d/1U5BagQA1z4EA1Sh-EDgGOQR2eUnyTYXb/view?usp=sharing
Free Contest 1,03/12/2015,Bảng điểm (thư mục),Bảng điểm,https://drive.google.com/drive/folders/1hVs4z5qgOtgCA3NLGEgfL6-KZXEY1urI?usp=sharing
Free Contest 1,03/12/2015,Bảng điểm,ranking.txt,https://drive.google.com/file/d/1xkkRvZZaOg1h8_HlTK2rVi7D9VPwNrIC/view?usp=sharing
Free Contest 1,03/12/2015,Bài giải (thư mục),Bài giải,https://drive.google.com/drive/folders/1fLD3LvyFXk_18MwRqqggy_ng1afjgvny?usp=sharing
Free Contest 1,03/12/2015,Bài giải,ASCII.cpp,https://drive.google.com/file/d/1dv7arAnMO0iOIV1VwArtDuaGQ7r-JH7b/view?usp=sharing
Free Contest 1,03/12/2015,Bài giải,KDIGIT.cpp,https://drive.google.com/file/d/1LgPOCjc7_K_jUQZy4W612yhXSTCztq1c/view?usp=sharing
Free Contest 1,03/12/2015,Bài giải,KEYBOARD.cpp,https://drive.google.com/file/d/1SU-5rngKW3SBPvVEAMWBrK4v76u5vpUd/view?usp=sharing
Free Contest 1,03/12/2015,Bài giải,KID.cpp,https://drive.google.com/file/d/1UbGCHARo3Ma2V6D-fEtOC8lVsui7rTMB/view?usp=sharing
Free Contest 1,03/12/2015,Bài giải,KNIGHT.cpp,https://drive.google.com/file/d/18xgXANip79znXWc7Yzq7ZRo9uHI-xJ19/view?usp=sharing
Free Contest 1,03/12/2015,Bài giải,KSTEPS.cpp,https://drive.google.com/file/d/1LFQOK5DjRyqQPJSJgIvErQXTMGHDllqH/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài (thư mục),Đề bài,https://drive.google.com/drive/folders/18iohQzYF5YWGZYyFJHMNzIswUsz23gKr?usp=sharing
Free Contest 2,10/12/2015,Đề bài,APPLE.pdf,https://drive.google.com/file/d/109fTdFVV9bH08sztNvGmPV0HH7T7TblD/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,HACK.pdf,https://drive.google.com/file/d/1ZeNerwkW4yTLXtwYu9luhLMvfmJjfr6k/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,HAMILTON.pdf,https://drive.google.com/file/d/1MHsO0b2Sv_7HYIGWEHsl50_DEhzFg1Rd/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,HIGHWAY.pdf,https://drive.google.com/file/d/1Qftbjy0fTp8HWcoxRPH0VG5jx8YKLYaU/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,IMGAME.pdf,https://drive.google.com/file/d/10pyH0EQ7cg4FQeO6VhoLCc2qD-M5S3ZP/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,IZBORI.pdf,https://drive.google.com/file/d/1Re0IFL26pGQOqtWXNLmjum_i6rZS9QoO/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,JEWEL.pdf,https://drive.google.com/file/d/1q8Rv0JggjoqIZrJUZI_ScuStM2cBedTH/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,JOB.pdf,https://drive.google.com/file/d/1aZshkxw9A4WrSumjTwwU15ZJ8U-qojcE/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,JUMPER.pdf,https://drive.google.com/file/d/1IdY16cFNdVZPuiODJXw8Ru284xXaA500/view?usp=sharing
Free Contest 2,10/12/2015,Đề bài,JUSTINBIEBER.pdf,https://drive.google.com/file/d/15x3qXLxFGt0VgGRyolwrxlGtHYALrB2n/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test (thư mục),Bộ test,https://drive.google.com/drive/folders/1ifWh0crZM6xoZcsxQiMe3LAQJvDDFjWL?usp=sharing
Free Contest 2,10/12/2015,Bộ test,APPLE.zip,https://drive.google.com/file/d/1suVhxd4kJc8QoPv42Y6D7Qqx1BIulS0r/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,HACK.zip,https://drive.google.com/file/d/1gXt15cukoop8N_3EJtmcpj72qUlcNd1X/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,HAMILTON.zip,https://drive.google.com/file/d/1QvEy0am2OThCdsvnX8xx90st_VtwVhGE/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,HIGHWAY.zip,https://drive.google.com/file/d/1cBlG_b35rNgxyUJtyLHEPMU551DVphzF/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,IMGAME.zip,https://drive.google.com/file/d/13aLT0LmrCQpDp1HdCnGlAzLBP8FQ1YBx/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,IZBORI.zip,https://drive.google.com/file/d/1vQzYQIA3dWZGy0zu7N56sT47U7DXa_d3/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,JEWEL.zip,https://drive.google.com/file/d/1BafTE2U4BculQOpZ6LHkTezwKJCRgNYY/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,JOB.zip,https://drive.google.com/file/d/1ZtgptD3wU2KviWGPl7U_sQd6wmqqJo6e/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,JUMPER.zip,https://drive.google.com/file/d/15DbpxHZ6-DD8zh5ySlcDOubC7R742rkp/view?usp=sharing
Free Contest 2,10/12/2015,Bộ test,JUSTINBIEBER.zip,https://drive.google.com/file/d/1eHk3CWYM9E1zPmbqrf94ylQLjJ_xFjSf/view?usp=sharing
Free Contest 2,10/12/2015,Bảng điểm (thư mục),Bảng điểm,https://drive.google.com/drive/folders/1nGAteLH6hPLcFCi6r3L5Fe5mG-rf6CYZ?usp=sharing
Free Contest 2,10/12/2015,Bảng điểm,ranking.png,https://drive.google.com/file/d/1uIplIxE4SimM2km_5_vhg6mjhPy9wRmq/view?usp=sharing
Free Contest 2,10/12/2015,Bài giải (thư mục),Bài giải,https://drive.google.com/drive/folders/1oX2E3mxwQqOO7qix9o2MHorJj5g7eneB?usp=sharing
Free Contest 2,10/12/2015,Bài giải,APPLE.cpp,https://drive.google.com/file/d/1lxfyx_mngXNV1dwS3puG7S-DpF4Yookc/view?usp=sharing
Free Contest 2,10/12/2015,Bài giải,HACK.cpp,https://drive.google.com/file/d/1Qu9ijrACCjt0MGkBdACfKGhn4lXCDLkP/view?usp=sharing
Free Contest 2,10/12/2015,Bài giải,HAMILTON.cpp,https://drive.google.com/file/d/1sJbvdY9SLFpPsNfGidA5iwiuGrqjHZx0/view?usp=sharing
Free Contest 2,10/12/2015,Bài giải,IMGAME.cpp,https://drive.google.com/file/d/1ydhqKuktPT116dm7bKn7_rqkiZNUhAbt/view?usp=sharing
Free Contest 2,10/12/2015,Bài giải,IZBORI.cpp,https://drive.google.com/file/d/1OoaNGKxnUiiW0fdBQBb6sJDStfLJMKJz/view?usp=sharing
Free Contest 2,10/12/2015,Bài giải,JOB.cpp,https://drive.google.com/file/d/1Qw4_B5IhANfFSiVcXMA0u8bp3V2sC7_u/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài (thư mục),Đề bài,https://drive.google.com/drive/folders/1FC-kH_wucA49XRXRdjFewPUaZ0RwWsQ5?usp=sharing
Free Contest 3,17/12/2015,Đề bài,BCL.pdf,https://drive.google.com/file/d/1BrzSBWCqU9ab5gZrWAAeB6bM2CqLwIT3/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài,NAMING.pdf,https://drive.google.com/file/d/1xAbTXPZMOUHe9me05s1EQGq6g-z7_YP3/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài,NAW.pdf,https://drive.google.com/file/d/14Nh1FM_02tC3FD-koAgnOl377DSSlei8/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài,NINJA.pdf,https://drive.google.com/file/d/1tNxKAALK16fYiL53p_jsMeBGgdj6vfYW/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài,NTREES.pdf,https://drive.google.com/file/d/1m1RZBRVXuZSnF5qWjucMQlQwtQYVkvXa/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài,NUMBER1.pdf,https://drive.google.com/file/d/15TNRxdWjcONn1R5bB_9imD-fdzHU0I_d/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài,NUMERE.pdf,https://drive.google.com/file/d/10vO5LBRTKvvWCXBpoOHSlQhi6Onqr3xa/view?usp=sharing
Free Contest 3,17/12/2015,Đề bài,NZSUM.pdf,https://drive.google.com/file/d/1I6Hbmozs5N7EiEq1T4M5XM8DzNBo2xH_/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test (thư mục),Bộ test,https://drive.google.com/drive/folders/1jJntj9vXoQDma8BWE310X57Xaj3KgnWb?usp=sharing
Free Contest 3,17/12/2015,Bộ test,BCL.zip,https://drive.google.com/file/d/1dSoAHfIhIZICFpYZEkY2N3SAxGagGh4s/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test,NAMING.zip,https://drive.google.com/file/d/190apSXv6MD9m8nqN4f53Mx0Y9JGJ_OkH/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test,NAW.zip,https://drive.google.com/file/d/1HGNBwtUrRlTKjnLG9-LLPOgMRqDh0x0h/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test,NINJA.zip,https://drive.google.com/file/d/1R2WEk83t8ScgSI1FV_QKtvCRyGgH3132/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test,NTREES.zip,https://drive.google.com/file/d/1jz-R_DBAE7y_oNz5Y7hZeJwXEZV2zJI-/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test,NUMBER1.zip,https://drive.google.com/file/d/1Jz6BVj1nLrvNIh75uKvSbSeB1wqYp0BC/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test,NUMERE.zip,https://drive.google.com/file/d/1uF07vKcSQTpuiITT3SOFpgzEZYfI9nkx/view?usp=sharing
Free Contest 3,17/12/2015,Bộ test,NZSUM.zip,https://drive.google.com/file/d/1jgSx0ReF0ijhR1ut23dNWSqfiiKrBg-r/view?usp=sharing
Free Contest 3,17/12/2015,Bảng điểm (thư mục),Bảng điểm,https://drive.google.com/drive/folders/19j_Rrt1nxiFY88002Shax7qjKMsUoueq?usp=sharing
Free Contest 3,17/12/2015,Bảng điểm,ranking_full.png,https://drive.google.com/file/d/1c3OBVJksN6bFEsfIPcNQq7QPAmCn1VqW/view?usp=sharing
Free Contest 3,17/12/2015,Bảng điểm,ranking.png,https://drive.google.com/file/d/1aoU86vX-IRZYtdLbgrc7OrovjM-s3RGZ/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải (thư mục),Bài giải,https://drive.google.com/drive/folders/1f67BACjifcSdu42Rk484eVvOjxxee-kb?usp=sharing
Free Contest 3,17/12/2015,Bài giải,BCL.cpp,https://drive.google.com/file/d/19TlwUgtbMFGx4pQh8EP6joR7HsgXO6AY/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải,NAMING.cpp,https://drive.google.com/file/d/1NUBlrH2HmTjmhQspQHxtwDdtX5vfU7nS/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải,NAW.cpp,https://drive.google.com/file/d/1_iEkJquebVmdrk2dQNTc1IrvRCPnLoIj/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải,NINJA.cpp,https://drive.google.com/file/d/1B9QZagOCESPd8V9Ca1rUekJtwZmCuudv/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải,NTREES.cpp,https://drive.google.com/file/d/1zaVsZksNyADH_hm7rPs2McQcvGorN4Yd/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải,NUMBER1.cpp,https://drive.google.com/file/d/1BsTSkV4GOkqaoTgHl8e21EOWhoI2TC5W/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải,NUMERE.cpp,https://drive.google.com/file/d/1oXcsj1l4KYAcoWa2DxrU5_7zIu1DMSGy/view?usp=sharing
Free Contest 3,17/12/2015,Bài giải,NZSUM.cpp,https://drive.google.com/file/d/1eIzKH5Y07lCwhg8ibnFkkNL-n6HOLZ3-/view?usp=sharing
Free Contest 4,24/12/2015,Đề bài (thư mục),Đề bài,https://drive.google.com/drive/folders/1KbFpdyHq-R-v6DPfKHSMLNl5zK26Ypzq?usp=sharing
Free Contest 4,24/12/2015,Đề bài,ATM.pdf,https://drive.google.com/file/d/1RPuyqLF7DxsFPOiI5okivlLBON-peJu5/view?usp=sharing
