,Task,MaxPointInContest,ParticipantsCount,ACCount,TotalPointInContest,PercentagePoint,PercentageAC
161,fc_hwc_r2_gangsta,100,55,1,716,0.130181818,0.018181818
157,fc_hwc_r2_graph,100,55,0,641,0.116545455,0
158,fc_hwc_r2_primeset,100,55,37,3970,0.721818182,0.672727273
160,fc_hwc_r2_scvmc,100,55,4,1590,0.289090909,0.072727273
162,fc_hwc_r2_search,100,55,0,70,0.012727273,0
159,fc_hwc_r2_wedding,100,55,1,2103,0.382363636,0.018181818
141,fc_hwc_r4_max,100,28,0,462,0.165,0
142,fc_hwc_r4_seat,100,28,0,310,0.110714286,0
143,fc_hwc_r4_segment,100,28,17,1768,0.631428571,0.607142857
144,fc_hwc_r4_selfie,100,28,2,425,0.151785714,0.071428571
145,fc_hwc_r4_team,100,28,2,674,0.240714286,0.071428571
146,fc_hwc_r4_tree,100,28,2,755,0.269642857,0.071428571
207,fc_pretst2018_2_audition,50,17,14,713,0.838823529,0.823529412
208,fc_pretst2018_2_city,50,17,8,465,0.547058824,0.470588235
209,fc_pretst2018_2_lis,50,17,10,520,0.611764706,0.588235294
210,fc_pretst2018_2_muldigits,50,17,2,290,0.341176471,0.117647059
0,fc004_atm,100,74,33,3967,0.536081081,0.445945946
1,fc004_billboard8,100,74,18,2509,0.339054054,0.243243243
2,fc004_ctravel,100,74,48,5290,0.714864865,0.648648649
3,fc004_diningb,100,74,59,6254,0.845135135,0.797297297
4,fc004_explore,100,74,44,4450,0.601351351,0.594594595
5,fc004_format1,100,74,2,200,0.027027027,0.027027027
6,fc004_gather,100,74,32,3530,0.477027027,0.432432432
7,fc004_hurdles,100,74,45,4970,0.671621622,0.608108108
8,fc004_irrev,100,74,28,2981,0.402837838,0.378378378
9,fc004_rook1,100,74,0,200,0.027027027,0
10,fc005_adict,50,56,2,161,0.0575,0.035714286
11,fc005_bandyta,50,56,22,1568,0.56,0.392857143
12,fc005_cheat1,50,56,26,2011,0.718214286,0.464285714
13,fc005_dejavu,50,56,46,2475,0.883928571,0.821428571
14,fc005_errant,50,56,3,215,0.076785714,0.053571429
15,fc005_factor,50,56,0,10,0.003571429,0
16,fc005_gcd50,50,56,4,271,0.096785714,0.071428571
17,fc005_horror,50,56,18,939,0.335357143,0.321428571
18,fc005_ibs,50,56,5,433,0.154642857,0.089285714
19,fc005_tableletter,50,56,10,500,0.178571429,0.178571429
20,fc006_aggressivecows,50,94,32,1720,0.365957447,0.340425532
21,fc006_bila,50,94,19,1785,0.379787234,0.20212766
22,fc006_contest3,50,94,12,1375,0.292553191,0.127659574
23,fc006_debug,50,94,8,754,0.160425532,0.085106383
24,fc006_exam2,50,94,53,2975,0.632978723,0.563829787
25,fc006_fibonacci,50,94,55,3647,0.775957447,0.585106383
26,fc006_game3,50,94,59,3100,0.659574468,0.627659574
27,fc006_number3,50,94,36,2457,0.522765957,0.382978723
28,fc006_problem,50,94,63,3600,0.765957447,0.670212766
29,fc006_timer,50,94,1,86,0.018297872,0.010638298
30,fc007_babylontower,50,88,9,528,0.12,0.102272727
31,fc007_cowrun,50,88,13,850,0.193181818,0.147727273
32,fc007_dispatching,50,88,7,516,0.117272727,0.079545455
33,fc007_egroup,50,88,16,1890,0.429545455,0.181818182
34,fc007_house,50,88,64,3337,0.758409091,0.727272727
35,fc007_knapsack,50,88,63,3366,0.765,0.715909091
36,fc007_lcs,50,88,72,3851,0.875227273,0.818181818
37,fc007_move,50,88,66,3306,0.751363636,0.75
38,fc007_seq4,50,88,38,2100,0.477272727,0.431818182
39,fc007_tribonacci,50,88,72,3778,0.858636364,0.818181818
40,fc036_countingsheep,50,40,26,1588,0.794,0.65
41,fc036_dwarves,50,40,5,984,0.492,0.125
42,fc036_rockgame,50,40,10,677,0.3385,0.25
46,fc037_belamtoan,50,20,9,492,0.492,0.45
43,fc037_nice,50,20,4,200,0.2,0.2
44,fc037_oantuti,50,20,5,282,0.282,0.25
45,fc037_rational2,50,20,20,1000,1,1
47,fc040_apples,50,38,21,1223,0.643684211,0.552631579
48,fc040_bank,50,38,14,829,0.436315789,0.368421053
49,fc040_lcm,50,38,6,377,0.198421053,0.157894737
50,fc040_maxsum,50,38,26,1433,0.754210526,0.684210526
51,fc040_square,50,38,13,1405,0.739473684,0.342105263
52,fc041_buggy,50,41,1,119,0.05804878,0.024390244
53,fc041_cab,50,41,1,222,0.108292683,0.024390244
54,fc041_chubacsi,50,41,30,1613,0.786829268,0.731707317
55,fc041_duathu,50,41,8,525,0.256097561,0.195121951
56,fc041_medicine,50,41,41,2050,1,1
57,fc042_convex,50,43,0,379,0.17627907,0
58,fc042_enclosure,50,43,0,87,0.040465116,0
59,fc042_flower,50,43,35,1828,0.850232558,0.813953488
60,fc042_socola,50,43,19,1270,0.590697674,0.441860465
61,fc042_windows,50,43,3,227,0.105581395,0.069767442
