,Task,MaxPointInContest,ParticipantsCount,ACCount,TotalPointInContest,DifficultyMultiplier
0,fc004_atm,100.0,74.0,33,3967.0,1.5
1,fc004_billboard8,100.0,74.0,18,2509.0,1.5
2,fc004_ctravel,100.0,74.0,48,5290.0,1.5
3,fc004_diningb,100.0,74.0,59,6254.0,1.5
4,fc004_explore,100.0,74.0,44,4450.0,1.5
5,fc004_format1,100.0,74.0,2,200.0,1.5
6,fc004_gather,100.0,74.0,32,3530.0,1.5
7,fc004_hurdles,100.0,74.0,45,4970.0,1.5
8,fc004_irrev,100.0,74.0,28,2981.0,1.5
9,fc004_rook1,100.0,74.0,0,200.0,1.5
10,fc005_adict,50.0,56.0,2,161.0,1.5
11,fc005_bandyta,50.0,56.0,22,1568.0,1.5
12,fc005_cheat1,50.0,56.0,26,2011.0,1.5
13,fc005_dejavu,50.0,56.0,46,2475.0,1.5
14,fc005_errant,50.0,56.0,3,215.0,1.5
15,fc005_factor,50.0,56.0,0,10.0,1.5
16,fc005_gcd50,50.0,56.0,4,271.0,1.5
17,fc005_horror,50.0,56.0,18,939.0,1.5
18,fc005_ibs,50.0,56.0,5,433.0,1.5
19,fc005_tableletter,50.0,56.0,10,500.0,1.5
20,fc006_aggressivecows,50.0,94.0,32,1720.0,1.5
21,fc006_bila,50.0,94.0,19,1785.0,1.5
22,fc006_contest3,50.0,94.0,12,1375.0,1.5
23,fc006_debug,50.0,94.0,8,754.0,1.5
24,fc006_exam2,50.0,94.0,53,2975.0,1.5
25,fc006_fibonacci,50.0,94.0,55,3647.0,1.5
26,fc006_game3,50.0,94.0,59,3100.0,1.5
27,fc006_number3,50.0,94.0,36,2457.0,1.5
28,fc006_problem,50.0,94.0,63,3600.0,1.5
29,fc006_timer,50.0,94.0,1,86.0,1.5
30,fc007_babylontower,50.0,88.0,9,528.0,1.5
31,fc007_cowrun,50.0,88.0,13,850.0,1.5
32,fc007_dispatching,50.0,88.0,7,516.0,1.5
33,fc007_egroup,50.0,88.0,16,1890.0,1.5
34,fc007_house,50.0,88.0,64,3337.0,1.5
35,fc007_knapsack,50.0,88.0,63,3366.0,1.5
36,fc007_lcs,50.0,88.0,72,3851.0,1.5
37,fc007_move,50.0,88.0,66,3306.0,1.5
38,fc007_seq4,50.0,88.0,38,2100.0,1.5
39,fc007_tribonacci,50.0,88.0,72,3778.0,1.5
40,fc036_countingsheep,50.0,40.0,26,1588.0,1.5
41,fc036_dwarves,50.0,40.0,5,984.0,1.5
42,fc036_rockgame,50.0,40.0,10,677.0,1.5
43,fc037_nice,50.0,20.0,4,200.0,1.5
44,fc037_oantuti,50.0,20.0,5,282.0,1.5
45,fc037_rational2,50.0,20.0,20,1000.0,1.5
46,fc037_belamtoan,50.0,20.0,9,492.0,1.5
47,fc040_apples,50.0,38.0,21,1223.0,1.5
48,fc040_bank,50.0,38.0,14,829.0,1.5
49,fc040_lcm,50.0,38.0,6,377.0,1.5
50,fc040_maxsum,50.0,38.0,26,1433.0,1.5
51,fc040_square,50.0,38.0,13,1405.0,1.5
52,fc041_buggy,50.0,41.0,1,119.0,1.5
53,fc041_cab,50.0,41.0,1,222.0,1.5
54,fc041_chubacsi,50.0,41.0,30,1613.0,1.5
55,fc041_duathu,50.0,41.0,8,525.0,1.5
56,fc041_medicine,50.0,41.0,41,2050.0,1.5
57,fc042_convex,50.0,43.0,0,379.0,1.5
58,fc042_enclosure,50.0,43.0,0,87.0,1.5
59,fc042_flower,50.0,43.0,35,1828.0,1.5
60,fc042_socola,50.0,43.0,19,1270.0,1.5
61,fc042_windows,50.0,43.0,3,227.0,1.5
62,fc043_forever,50.0,31.0,8,642.0,1.5
63,fc043_guide,50.0,31.0,0,0.0,1.5
64,fc043_kinver,50.0,31.0,0,340.0,1.5
65,fc043_review,50.0,31.0,0,10.0,1.5
66,fc044_assemble,50.0,24.0,9,450.0,1.5
67,fc044_divisors,50.0,24.0,17,861.0,1.5
68,fc044_fire,50.0,24.0,0,117.0,1.5
69,fc044_nbridge,50.0,24.0,6,450.0,1.5
70,fc044_nbuy,50.0,24.0,18,1030.0,1.5
71,fc045_icar,50.0,23.0,0,2.0,1.5
72,fc045_nantiprime,50.0,23.0,5,250.0,1.5
73,fc045_nfactor,50.0,23.0,9,450.0,1.5
74,fc045_nlineup,50.0,23.0,14,891.0,1.5
75,fc045_nrace,50.0,23.0,0,104.0,1.5
76,fc046_cutcakee,50.0,25.0,8,498.0,1.5
77,fc046_delcol,50.0,25.0,4,220.0,1.5
78,fc046_ksmallestsums,50.0,25.0,7,492.0,1.5
79,fc046_number,50.0,25.0,0,599.0,1.5
80,fc046_countingtree,50.0,25.0,7,410.0,1.5
81,fc047_eating,50.0,37.0,0,123.0,1.5
82,fc047_fibonacci,50.0,37.0,28,1432.0,1.5
83,fc047_frogjumps,50.0,37.0,16,864.0,1.5
84,fc047_luckynum,50.0,37.0,0,48.0,1.5
85,fc047_powerfularray,50.0,37.0,1,250.0,1.5
86,fc048_bamboos,50.0,25.0,4,345.0,1.5
87,fc048_gravels,50.0,25.0,3,180.0,1.5
88,fc048_hamming,50.0,25.0,14,834.0,1.5
89,fc048_insertar,50.0,25.0,13,685.0,1.5
90,fc048_testlist1,50.0,25.0,0,39.0,1.5
91,fc049_bimat,50.0,50.0,45,2319.0,1.5
92,fc049_class,50.0,50.0,31,1574.0,1.5
93,fc049_estimation,50.0,50.0,1,65.0,1.5
94,fc049_numbers,50.0,50.0,1,302.0,1.5
95,fc049_repeatstring,50.0,50.0,17,993.0,1.5
96,fc049_vang,50.0,50.0,12,785.0,1.5
97,fc051_anagram,50.0,56.0,5,446.0,1.5
98,fc051_archery,50.0,56.0,17,1910.0,1.5
99,fc051_dfs,50.0,56.0,10,600.0,1.5
100,fc051_house,50.0,56.0,48,2662.0,1.5
101,fc051_lamp,50.0,56.0,54,2700.0,1.5
102,fc052_chess,50.0,40.0,20,1070.0,1.5
103,fc052_circles,50.0,40.0,7,368.0,1.5
104,fc052_dicegame,50.0,40.0,28,1530.0,1.5
105,fc052_photo,50.0,40.0,8,425.0,1.5
106,fc052_trontim,50.0,40.0,5,381.0,1.5
