,Task,MaxPointInContest,ParticipantsNonZeroCount,ParticipantsAllCount,ACCount,TotalPointInContest,DifficultyMultiplier,ZeroRate
161,fc_hwc_r2_gangsta,100,55,182,1,716,2,0.697802198
157,fc_hwc_r2_graph,100,55,182,0,641,2,0.697802198
158,fc_hwc_r2_primeset,100,55,182,37,3970,2,0.697802198
160,fc_hwc_r2_scvmc,100,55,182,4,1590,2,0.697802198
162,fc_hwc_r2_search,100,55,182,0,70,2,0.697802198
159,fc_hwc_r2_wedding,100,55,182,1,2103,2,0.697802198
141,fc_hwc_r4_max,100,28,181,0,462,2,0.845303867
142,fc_hwc_r4_seat,100,28,181,0,310,2,0.845303867
143,fc_hwc_r4_segment,100,28,181,17,1768,2,0.845303867
144,fc_hwc_r4_selfie,100,28,181,2,425,2,0.845303867
145,fc_hwc_r4_team,100,28,181,2,674,2,0.845303867
146,fc_hwc_r4_tree,100,28,181,2,755,2,0.845303867
207,fc_pretst2018_2_audition,50,17,22,14,713,2,0.227272727
208,fc_pretst2018_2_city,50,17,22,8,465,2,0.227272727
209,fc_pretst2018_2_lis,50,17,22,10,520,2,0.227272727
210,fc_pretst2018_2_muldigits,50,17,22,2,290,2,0.227272727
0,fc004_atm,100,74,121,33,3967,1.5,0.388429752
1,fc004_billboard8,100,74,121,18,2509,1.5,0.388429752
2,fc004_ctravel,100,74,121,48,5290,1.5,0.388429752
3,fc004_diningb,100,74,121,59,6254,1.5,0.388429752
4,fc004_explore,100,74,121,44,4450,1.5,0.388429752
5,fc004_format1,100,74,121,2,200,1.5,0.388429752
6,fc004_gather,100,74,121,32,3530,1.5,0.388429752
7,fc004_hurdles,100,74,121,45,4970,1.5,0.388429752
8,fc004_irrev,100,74,121,28,2981,1.5,0.388429752
9,fc004_rook1,100,74,121,0,200,1.5,0.388429752
10,fc005_adict,50,56,92,2,161,1.5,0.391304348
11,fc005_bandyta,50,56,92,22,1568,1.5,0.391304348
12,fc005_cheat1,50,56,92,26,2011,1.5,0.391304348
13,fc005_dejavu,50,56,92,46,2475,1.5,0.391304348
14,fc005_errant,50,56,92,3,215,1.5,0.391304348
15,fc005_factor,50,56,92,0,10,1.5,0.391304348
16,fc005_gcd50,50,56,92,4,271,1.5,0.391304348
17,fc005_horror,50,56,92,18,939,1.5,0.391304348
18,fc005_ibs,50,56,92,5,433,1.5,0.391304348
19,fc005_tableletter,50,56,92,10,500,1.5,0.391304348
20,fc006_aggressivecows,50,94,193,32,1720,1.5,0.512953368
21,fc006_bila,50,94,193,19,1785,1.5,0.512953368
22,fc006_contest3,50,94,193,12,1375,1.5,0.512953368
23,fc006_debug,50,94,193,8,754,1.5,0.512953368
24,fc006_exam2,50,94,193,53,2975,1.5,0.512953368
