Task,MaxPointInContest,ParticipantsCount,ACCount,TotalPointInContest,DifficultyMultiplier,VNOJAC,ContestACRate,ContestPointRate,ZeroRate,ParticipantsAllCount,NormalizedParticipatantsCount,NormACRate,NormPointRate,VNOJOriginal,VNOJAdjusted,JRating
fc_hwc_r2_gangsta,100,55,1,716,2,,0.0182,0.1302,0.697802198,182,155,0.0064,0.0461,,,
fc_hwc_r2_graph,100,55,0,641,2,,0.0000,0.1165,0.697802198,182,155,0.0000,0.0412,,,
fc_hwc_r2_primeset,100,55,37,3970,2,,0.6727,0.7218,0.697802198,182,155,0.2380,0.2554,,,
fc_hwc_r2_scvmc,100,55,4,1590,2,,0.0727,0.2891,0.697802198,182,155,0.0257,0.1023,,,
fc_hwc_r2_search,100,55,0,70,2,,0.0000,0.0127,0.697802198,182,155,0.0000,0.0045,,,
fc_hwc_r2_wedding,100,55,1,2103,2,,0.0182,0.3824,0.697802198,182,155,0.0064,0.1353,,,
fc_hwc_r4_max,100,28,0,462,2,0,0.0000,0.1650,0.845303867,181,155,0.0000,0.0299,0.8,,
fc_hwc_r4_seat,100,28,0,310,2,0,0.0000,0.1107,0.845303867,181,155,0.0000,0.0201,0.8,,
fc_hwc_r4_segment,100,28,17,1768,2,4,0.6071,0.6314,0.845303867,181,155,0.1100,0.1144,0.8,,
fc_hwc_r4_selfie,100,28,2,425,2,2,0.0714,0.1518,0.845303867,181,155,0.0129,0.0275,0.8,,
fc_hwc_r4_team,100,28,2,674,2,0,0.0714,0.2407,0.845303867,181,155,0.0129,0.0436,0.8,,
fc_hwc_r4_tree,100,28,2,755,2,0,0.0714,0.2696,0.845303867,181,155,0.0129,0.0488,0.8,,
fc_pretst2018_2_audition,50,17,14,713,2,14,0.8235,0.8388,0.227272727,22,19,0.7451,0.7589,0.32,0.32,
fc_pretst2018_2_city,50,17,8,465,2,8,0.4706,0.5471,0.227272727,22,19,0.4258,0.4949,0.68,0.68,
fc_pretst2018_2_lis,50,17,10,520,2,11,0.5882,0.6118,0.227272727,22,19,0.5322,0.5535,0.58,0.58,
fc_pretst2018_2_muldigits,50,17,2,290,2,1,0.1176,0.3412,0.227272727,22,19,0.1064,0.3087,0.99,0.99,
fc004_atm,100,74,33,3967,1.5,19,0.4459,0.5361,0.388429752,121,103,0.3193,0.3839,0.7,,
fc004_billboard8,100,74,18,2509,1.5,6,0.2432,0.3391,0.388429752,121,103,0.1742,0.2428,0.99,0.99,
fc004_ctravel,100,74,48,5290,1.5,9,0.6486,0.7149,0.388429752,121,103,0.4645,0.5119,0.43,0.43,
fc004_diningb,100,74,59,6254,1.5,24,0.7973,0.8451,0.388429752,121,103,0.5709,0.6052,0.32,0.32,
fc004_explore,100,74,44,4450,1.5,11,0.5946,0.6014,0.388429752,121,103,0.4258,0.4306,0.6,0.6,
fc004_format1,100,74,2,200,1.5,0,0.0270,0.0270,0.388429752,121,103,0.0194,0.0194,1.46,1.46,
fc004_gather,100,74,32,3530,1.5,14,0.4324,0.4770,0.388429752,121,103,0.3096,0.3416,0.78,0.78,
fc004_hurdles,100,74,45,4970,1.5,11,0.6081,0.6716,0.388429752,121,103,0.4354,0.4809,0.49,0.49,
fc004_irrev,100,74,28,2981,1.5,,0.3784,0.4028,0.388429752,121,103,0.2709,0.2884,,,
fc004_rook1,100,74,0,200,1.5,81,0.0000,0.0270,0.388429752,121,103,0.0000,0.0194,1.42,1.42,
fc005_adict,50,56,2,161,1.5,,0.0357,0.0575,0.391304348,92,79,0.0255,0.0410,,,
fc005_bandyta,50,56,22,1568,1.5,,0.3929,0.5600,0.391304348,92,79,0.2800,0.3991,,,
fc005_cheat1,50,56,26,2011,1.5,,0.4643,0.7182,0.391304348,92,79,0.3309,0.5119,,,
fc005_dejavu,50,56,46,2475,1.5,,0.8214,0.8839,0.391304348,92,79,0.5854,0.6300,,,
fc005_errant,50,56,3,215,1.5,,0.0536,0.0768,0.391304348,92,79,0.0382,0.0547,,,
fc005_factor,50,56,0,10,1.5,,0.0000,0.0036,0.391304348,92,79,0.0000,0.0025,,,
fc005_gcd50,50,56,4,271,1.5,,0.0714,0.0968,0.391304348,92,79,0.0509,0.0690,,,
fc005_horror,50,56,18,939,1.5,,0.3214,0.3354,0.391304348,92,79,0.2291,0.2390,,,
fc005_ibs,50,56,5,433,1.5,,0.0893,0.1546,0.391304348,92,79,0.0636,0.1102,,,
fc005_tableletter,50,56,10,500,1.5,,0.1786,0.1786,0.391304348,92,79,0.1273,0.1273,,,
fc006_aggressivecows,50,94,32,1720,1.5,,0.3404,0.3660,0.512953368,193,165,0.1941,0.2087,,,
fc006_bila,50,94,19,1785,1.5,,0.2021,0.3798,0.512953368,193,165,0.1153,0.2166,,,
fc006_contest3,50,94,12,1375,1.5,,0.1277,0.2926,0.512953368,193,165,0.0728,0.1668,,,
fc006_debug,50,94,8,754,1.5,,0.0851,0.1604,0.512953368,193,165,0.0485,0.0915,,,
fc006_exam2,50,94,53,2975,1.5,,0.5638,0.6330,0.512953368,193,165,0.3215,0.3610,,,
fc006_fibonacci,50,94,55,3647,1.5,,0.5851,0.7760,0.512953368,193,165,0.3337,0.4425,,,
fc006_game3,50,94,59,3100,1.5,,0.6277,0.6596,0.512953368,193,165,0.3579,0.3761,,,
fc006_number3,50,94,36,2457,1.5,,0.3830,0.5228,0.512953368,193,165,0.2184,0.2981,,,
fc006_problem,50,94,63,3600,1.5,,0.6702,0.7660,0.512953368,193,165,0.3822,0.4368,,,
fc006_timer,50,94,1,86,1.5,,0.0106,0.0183,0.512953368,193,165,0.0061,0.0104,,,
fc007_babylontower,50,88,9,528,1.5,,0.1023,0.1200,0.428571429,154,132,0.0684,0.0803,,,
fc007_cowrun,50,88,13,850,1.5,,0.1477,0.1932,0.428571429,154,132,0.0988,0.1292,,,
fc007_dispatching,50,88,7,516,1.5,,0.0795,0.1173,0.428571429,154,132,0.0532,0.0785,,,
fc007_egroup,50,88,16,1890,1.5,,0.1818,0.4295,0.428571429,154,132,0.1216,0.2874,,,
fc007_house,50,88,64,3337,1.5,,0.7273,0.7584,0.428571429,154,132,0.4866,0.5074,,,
fc007_knapsack,50,88,63,3366,1.5,,0.7159,0.7650,0.428571429,154,132,0.4790,0.5118,,,
fc007_lcs,50,88,72,3851,1.5,,0.8182,0.8752,0.428571429,154,132,0.5474,0.5856,,,
fc007_move,50,88,66,3306,1.5,,0.7500,0.7514,0.428571429,154,132,0.5018,0.5027,,,
fc007_seq4,50,88,38,2100,1.5,,0.4318,0.4773,0.428571429,154,132,0.2889,0.3193,,,
fc007_tribonacci,50,88,72,3778,1.5,,0.8182,0.8586,0.428571429,154,132,0.5474,0.5745,,,
fc036_countingsheep,50,40,26,1588,1.5,11,0.6500,0.7940,0.518072289,83,71,0.3668,0.4480,0.31,0.31,
fc036_dwarves,50,40,5,984,1.5,1,0.1250,0.4920,0.518072289,83,71,0.0705,0.2776,0.76,0.76,
fc036_rockgame,50,40,10,677,1.5,21,0.2500,0.3385,0.518072289,83,71,0.1411,0.1910,0.99,0.99,
fc037_belamtoan,50,20,9,492,1.5,7,0.4500,0.4920,0.718309859,71,61,0.1484,0.1623,0.76,0.76,
fc037_nice,50,20,4,200,1.5,2,0.2000,0.2000,0.718309859,71,61,0.0660,0.0660,1.2,1.2,
fc037_oantuti,50,20,5,282,1.5,6,0.2500,0.2820,0.718309859,71,61,0.0825,0.0930,1.08,1.08,
fc037_rational2,50,20,20,1000,1.5,5,1.0000,1.0000,0.718309859,71,61,0.3298,0.3298,0.3,,
fc040_apples,50,38,21,1223,1.5,11,0.5526,0.6437,0.424242424,66,56,0.3725,0.4339,0.53,0.53,
fc040_bank,50,38,14,829,1.5,,0.3684,0.4363,0.424242424,66,56,0.2484,0.2941,,,
fc040_lcm,50,38,6,377,1.5,,0.1579,0.1984,0.424242424,66,56,0.1064,0.1338,,,
fc040_maxsum,50,38,26,1433,1.5,,0.6842,0.7542,0.424242424,66,56,0.4612,0.5084,,,
fc040_square,50,38,13,1405,1.5,24,0.3421,0.7395,0.424242424,66,56,0.2306,0.4985,0.39,0.39,
fc041_buggy,50,41,1,119,1.5,11,0.0244,0.0580,0.453333333,75,64,0.0156,0.0372,1.41,1.41,
fc041_cab,50,41,1,222,1.5,17,0.0244,0.1083,0.453333333,75,64,0.0156,0.0693,1.34,1.34,
