Task,VNOJOriginal,JRatingM,DeltaToVNOJ
fc_hwc_r4_max,0.8,2,1.2
fc_hwc_r4_seat,0.8,2,1.2
fc_hwc_r4_segment,0.8,1.1,0.3
fc_hwc_r4_selfie,0.8,1.81,1.01
fc_hwc_r4_team,0.8,1.81,1.01
fc_hwc_r4_tree,0.8,1.81,1.01
fc_pretst2018_2_audition,0.32,0.14,-0.18
fc_pretst2018_2_city,0.68,0.39,-0.29
fc_pretst2018_2_lis,0.58,0.29,-0.29
fc_pretst2018_2_muldigits,0.99,1.11,0.12
fc004_atm,0.7,0.41,-0.29
fc004_billboard8,0.99,0.66,-0.33
fc004_ctravel,0.43,0.26,-0.17
fc004_diningb,0.32,0.19,-0.13
fc004_explore,0.6,0.29,-0.31
fc004_format1,1.46,1.3,-0.16
fc004_gather,0.78,0.42,-0.36
fc004_hurdles,0.49,0.28,-0.21
fc004_rook1,1.42,1.5,0.08
fc036_countingsheep,0.31,0.35,0.04
fc036_dwarves,0.76,0.97,0.21
fc036_rockgame,0.99,0.74,-0.25
fc037_belamtoan,0.76,0.72,-0.04
fc037_nice,1.2,0.99,-0.21
fc037_oantuti,1.08,0.92,-0.16
fc037_rational2,0.3,0.4,0.1
fc040_apples,0.53,0.35,-0.18
fc040_square,0.39,0.55,0.16
fc041_buggy,1.41,1.33,-0.08
fc041_cab,1.34,1.33,-0.01
fc041_chubacsi,0.32,0.26,-0.06
fc041_duathu,1.12,0.78,-0.34
fc041_medicine,0.3,0.16,-0.14
fc042_convex,1.13,1.5,0.37
fc042_enclosure,1.39,1.5,0.11
fc042_flower,0.32,0.2,-0.12
fc042_socola,0.61,0.43,-0.18
fc042_windows,1.34,1.09,-0.25
fc043_forever,0.88,0.85,-0.03
fc043_guide,1.5,1.5,0
fc043_kinver,0.53,1.5,0.97
fc043_review,1.26,1.5,0.24
fc044_assemble,0.94,0.7,-0.24
fc044_divisors,0.42,0.44,0.02
fc044_fire,1.34,1.5,0.16
fc045_icar,1.37,1.5,0.13
fc046_countingtree,1.01,0.75,-0.26
fc046_cutcakee,0.9,0.7,-0.2
fc046_delcol,1.24,0.94,-0.3
fc046_ksmallestsums,0.91,0.75,-0.16
fc046_number,0.75,1.5,0.75
fc048_bamboos,1.09,0.97,-0.12
fc048_gravels,1.28,1.07,-0.21
fc048_hamming,0.5,0.53,0.03
fc048_insertar,0.68,0.56,-0.12
fc048_testlist1,1.42,1.5,0.08
fc051_anagram,1.26,1.02,-0.24
fc051_archery,0.48,0.59,0.11
fc051_dfs,1.18,0.79,-0.39
fc051_house,0.31,0.18,-0.13
fc051_lamp,0.31,0.15,-0.16
fc052_chess,0.7,0.45,-0.25
fc052_circles,1.22,0.85,-0.37
